accuracy,training_time,plain_inference_time,datetime,y_hat_sample,y_sample,inference_size,activation,time_taken,is_plaintext,is_cyphertext,session
0.648,432.0522394180298,34.309489727020264,2021-10-12 16:44:39.792219,"[4, 4, 2, 1, 7, 5, 8, 4, 4, 1, 5, 7, 5, 8, 1, 6, 9, 6, 3, 3]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,Sigmoid,,,,
0.6566,430.9223954677582,34.17298650741577,2021-10-12 16:56:20.380735,"[4, 4, 6, 1, 7, 7, 8, 4, 4, 1, 7, 7, 7, 8, 1, 6, 9, 6, 3, 3]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,Sigmoid,,,,
0.6297,432.3454036712647,34.95256042480469,2021-10-12 17:07:47.519167,"[6, 4, 6, 3, 7, 9, 8, 4, 4, 3, 7, 7, 9, 8, 3, 0, 9, 2, 3, 8]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,Sigmoid,,,,
0.643,429.5007874965668,34.71996784210205,2021-10-12 19:09:11.279727,"[4, 4, 2, 3, 7, 9, 8, 4, 4, 1, 7, 7, 7, 8, 3, 0, 9, 4, 3, 3]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,Sigmoid,,,,
0.1613,434.3567762374878,34.226744651794434,2021-10-19 13:19:13.784367,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 1, 9, 9, 9, 9, 9, 9, 9, 9, 1, 9]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,ReLU,,,,
0.6379,435.7447829246521,34.1407732963562,2021-10-19 13:31:40.421864,"[4, 4, 2, 3, 7, 7, 8, 4, 4, 1, 7, 7, 7, 8, 1, 3, 9, 4, 3, 3]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,ReLU,,,,
0.351,440.4305121898651,34.6294469833374,2021-10-20 08:29:59.613818,"[5, 4, 4, 1, 7, 9, 1, 1, 7, 1, 9, 7, 9, 4, 1, 1, 9, 1, 1, 3]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,ReLU,,,,
0.6242,437.50263929367065,34.48528265953064,2021-10-20 10:05:42.117768,"[4, 4, 2, 1, 7, 9, 8, 1, 4, 1, 7, 7, 7, 8, 1, 1, 9, 6, 1, 3]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,ReLU,,,,
0.6602,432.0775773525238,33.89829397201538,2021-10-20 10:44:17.674635,"[4, 4, 2, 1, 7, 7, 8, 1, 4, 1, 7, 7, 7, 8, 1, 1, 9, 6, 1, 3]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,ReLU,,,,
0.6636,426.87052726745605,33.61332368850708,2021-10-20 10:56:56.230870,"[4, 4, 2, 1, 7, 9, 8, 4, 4, 1, 7, 7, 7, 8, 1, 0, 9, 6, 1, 3]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,ReLU,,,,
0.6587,445.69929575920105,36.01149535179138,2021-10-20 14:59:41.630127,"[4, 4, 2, 1, 7, 9, 8, 4, 4, 1, 7, 7, 9, 8, 1, 0, 9, 2, 1, 3]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,ReLU,,,,
0.6483,567.8289082050323,46.51044774055481,2021-10-21 11:29:25.809117,"[4, 4, 2, 1, 7, 9, 8, 1, 4, 1, 7, 7, 9, 8, 1, 1, 9, 6, 6, 3]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,ReLU,,,,
0.2165,568.3424112796783,,2021-10-21 15:58:47.985957,"[4, 2, 2, 5, 5, 5, 8, 5, 2, 5, 5, 5, 5, 8, 5, 5, 5, 4, 5, 5]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,ReLU,44.98702096939087,1.0,0.0,YG4OZH
0.3,568.3424112796783,,2021-10-21 17:46:17.619043,"[0, 5, 5, 4, 5, 5, 8, 5, 5, 5]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0]",10,ReLU,6449.104982614517,0.0,1.0,YG4OZH
0.1,551.6193635463715,,2021-10-21 18:44:27.998060,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,ReLU,44.47765755653381,1.0,0.0,zDKudT
0.1,551.6193635463715,,2021-10-21 20:32:33.531061,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0]",10,ReLU,6484.998446464539,0.0,1.0,zDKudT
0.6616,553.9751944541931,,2021-10-22 08:53:23.493594,"[4, 4, 2, 1, 7, 7, 8, 1, 4, 1, 7, 7, 7, 8, 1, 1, 9, 6, 1, 3]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,ReLU,43.7408938407898,1.0,0.0,94SG7Q
1.0,553.9751944541931,,2021-10-22 09:11:18.384735,"[0, 1]","[0, 1]",2,ReLU,1074.3476536273956,0.0,1.0,94SG7Q
0.6263,556.7924499511719,,2021-10-22 09:30:41.100349,"[4, 4, 2, 1, 7, 7, 8, 4, 4, 1, 7, 5, 7, 8, 1, 0, 9, 2, 3, 3]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,Sigmoid,45.023357629776,1.0,0.0,O9Vppu
1.0,556.7924499511719,,2021-10-22 09:47:33.748976,"[0, 1]","[0, 1]",2,Sigmoid,1012.1247086524965,0.0,1.0,O9Vppu
0.6272,549.1023924350739,,2021-10-22 09:58:31.865412,"[4, 4, 4, 1, 7, 5, 8, 4, 4, 1, 5, 7, 5, 8, 1, 6, 9, 6, 3, 3]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,Sigmoid,44.14562177658081,1.0,0.0,0z8Q8N
1.0,549.1023924350739,,2021-10-22 10:14:02.339889,"[0, 1]","[0, 1]",2,Sigmoid,929.9097325801848,0.0,1.0,0z8Q8N
0.658,547.7961556911469,,2021-10-22 10:26:00.898239,"[4, 4, 2, 1, 7, 9, 8, 4, 4, 3, 5, 7, 9, 8, 3, 0, 9, 2, 3, 3]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,Sigmoid,43.88191342353821,1.0,0.0,sKUrDv
